Date,Time,Open,High,Low,Close,Volume
05/03/2018,09:15,130.5,132.0,119.0,131.0,4460
05/03/2018,09:30,131.0,139.0,127.5,132.0,3358
05/03/2018,09:45,132.5,134.5,128.0,129.5,2838
05/03/2018,10:00,129.5,130.0,121.5,124.0,3486
05/03/2018,10:15,124.0,126.5,121.0,123.5,2032
05/03/2018,10:30,123.5,123.5,123.5,123.5,2
05/03/2018,10:45,123.5,126.5,119.5,125.5,2538
05/03/2018,11:00,125.5,126.5,111.5,115.5,4620
05/03/2018,11:15,116.0,118.0,106.5,109.0,3058
05/03/2018,11:30,109.0,117.5,108.5,116.0,3674
05/03/2018,11:45,116.0,116.0,116.0,116.0,0
05/03/2018,12:00,116.0,116.0,116.0,116.0,0
05/03/2018,12:15,116.0,116.0,116.0,116.0,0
05/03/2018,12:30,116.0,116.0,116.0,116.0,0
05/03/2018,12:45,116.0,116.0,116.0,116.0,0
05/03/2018,13:00,116.0,116.0,116.0,116.0,0
05/03/2018,13:15,116.0,116.0,116.0,116.0,0
05/03/2018,13:30,116.0,116.0,116.0,116.0,2
05/03/2018,13:45,116.5,123.0,115.0,117.5,3160
05/03/2018,14:00,118.0,118.0,111.5,112.0,3924
05/03/2018,14:15,112.0,115.0,100.5,102.0,4446
05/03/2018,14:30,101.5,110.5,101.0,106.5,3548
05/03/2018,14:45,106.5,113.5,106.5,111.5,3158
05/03/2018,15:00,111.5,117.0,108.5,114.0,3570
05/04/2018,09:15,110.0,131.5,109.0,127.5,5102
05/04/2018,09:30,128.5,128.5,116.0,118.5,3968
05/04/2018,09:45,118.5,123.0,115.5,121.5,2774
05/04/2018,10:00,121.5,123.0,118.5,120.0,1736
05/04/2018,10:15,120.5,121.5,116.0,120.0,1896
05/04/2018,10:30,120.0,120.0,120.0,120.0,2
05/04/2018,10:45,120.5,123.5,118.0,118.5,2246
05/04/2018,11:00,119.0,122.5,117.5,119.5,1878
05/04/2018,11:15,119.5,121.0,111.5,118.5,3054
05/04/2018,11:30,118.5,127.0,118.5,125.0,3682
05/04/2018,11:45,125.0,125.0,125.0,125.0,0
05/04/2018,12:00,125.0,125.0,125.0,125.0,0
05/04/2018,12:15,125.0,125.0,125.0,125.0,0
05/04/2018,12:30,125.0,125.0,125.0,125.0,0
05/04/2018,12:45,125.0,125.0,125.0,125.0,0
05/04/2018,13:00,125.0,125.0,125.0,125.0,0
05/04/2018,13:15,125.0,125.0,125.0,125.0,0
05/04/2018,13:30,124.5,124.5,124.5,124.5,2
05/04/2018,13:45,125.5,129.5,121.0,126.0,3372
05/04/2018,14:00,126.5,127.0,117.0,123.0,3548
05/04/2018,14:15,123.0,128.0,119.0,120.0,3118
05/04/2018,14:30,120.5,124.5,119.5,123.5,2092
05/04/2018,14:45,123.5,125.5,120.0,124.0,2276
05/04/2018,15:00,123.5,129.5,122.5,123.5,4150
05/07/2018,09:15,115.5,117.0,100.5,108.5,5214
05/07/2018,09:30,108.5,110.0,98.5,107.5,4214
05/07/2018,09:45,107.0,109.0,104.5,108.5,3052
05/07/2018,10:00,108.5,113.0,106.0,111.0,2762
05/07/2018,10:15,110.5,155.0,110.5,151.5,5800
05/07/2018,10:30,151.5,151.5,151.5,151.5,0
05/07/2018,10:45,150.5,159.5,144.5,159.5,4198
05/07/2018,11:00,159.5,167.5,154.5,166.5,4634
05/07/2018,11:15,166.0,166.5,159.0,159.5,3258
05/07/2018,11:30,160.5,163.0,152.0,159.5,3304
05/07/2018,11:45,159.5,159.5,159.5,159.5,0
05/07/2018,12:00,159.5,159.5,159.5,159.5,0
05/07/2018,12:15,159.5,159.5,159.5,159.5,0
05/07/2018,12:30,159.5,159.5,159.5,159.5,0
05/07/2018,12:45,159.5,159.5,159.5,159.5,0
05/07/2018,13:00,159.5,159.5,159.5,159.5,0
05/07/2018,13:15,159.5,159.5,159.5,159.5,0
05/07/2018,13:30,159.0,159.0,159.0,159.0,2
05/07/2018,13:45,160.5,162.0,154.0,159.5,2370
05/07/2018,14:00,159.5,162.5,157.5,160.0,2692
05/07/2018,14:15,160.0,165.5,159.5,164.0,3136
05/07/2018,14:30,164.5,165.5,157.0,159.5,2988
05/07/2018,14:45,159.5,160.5,157.0,159.0,1934
05/07/2018,15:00,159.5,166.5,154.5,156.0,4750
05/08/2018,09:15,161.5,162.0,151.0,155.5,4004
05/08/2018,09:30,155.0,162.0,155.0,158.0,2724
05/08/2018,09:45,158.0,161.0,157.0,159.5,1918
05/08/2018,10:00,159.0,165.0,157.5,162.0,1568
05/08/2018,10:15,162.5,165.0,160.0,162.0,1794
05/08/2018,10:30,161.5,161.5,161.5,161.5,2
05/08/2018,10:45,162.0,163.5,157.0,160.0,2274
05/08/2018,11:00,159.5,163.0,154.5,156.5,2858
05/08/2018,11:15,156.5,162.5,151.5,161.0,2664
05/08/2018,11:30,161.0,162.5,157.0,158.0,1896
05/08/2018,11:45,158.0,158.0,158.0,158.0,0
05/08/2018,12:00,158.0,158.0,158.0,158.0,0
05/08/2018,12:15,158.0,158.0,158.0,158.0,0
05/08/2018,12:30,158.0,158.0,158.0,158.0,0
05/08/2018,12:45,158.0,158.0,158.0,158.0,0
05/08/2018,13:00,158.0,158.0,158.0,158.0,0
05/08/2018,13:15,158.0,158.0,158.0,158.0,0
05/08/2018,13:30,158.0,158.0,158.0,158.0,2
05/08/2018,13:45,157.5,158.5,145.5,148.5,4206
05/08/2018,14:00,148.5,156.0,148.5,153.0,2842
05/08/2018,14:15,153.5,159.0,151.5,155.5,2560
05/08/2018,14:30,155.0,160.0,151.0,153.5,2604
05/08/2018,14:45,153.0,156.5,152.0,155.5,1642
05/08/2018,15:00,155.0,157.5,150.5,152.5,2628
05/09/2018,09:15,115.5,128.0,115.5,121.5,4920
05/09/2018,09:30,122.5,128.5,120.5,123.5,3266
05/09/2018,09:45,123.5,125.5,119.5,121.5,2446
05/09/2018,10:00,121.5,121.5,115.0,118.0,2870
05/09/2018,10:15,117.5,122.0,107.5,120.0,4364
05/09/2018,10:30,120.0,120.0,120.0,120.0,0
05/09/2018,10:45,120.5,122.5,118.5,119.0,2406
05/09/2018,11:00,119.0,119.0,115.5,117.5,1544
05/09/2018,11:15,117.5,125.0,116.5,125.0,2374
05/09/2018,11:30,125.0,125.5,119.5,122.0,2152
05/09/2018,11:45,122.0,122.0,122.0,122.0,0
05/09/2018,12:00,122.0,122.0,122.0,122.0,0
05/09/2018,12:15,122.0,122.0,122.0,122.0,0
05/09/2018,12:30,122.0,122.0,122.0,122.0,0
05/09/2018,12:45,122.0,122.0,122.0,122.0,0
05/09/2018,13:00,122.0,122.0,122.0,122.0,0
05/09/2018,13:15,122.0,122.0,122.0,122.0,0
05/09/2018,13:30,121.5,121.5,121.5,121.5,4
05/09/2018,13:45,121.5,122.5,114.5,115.0,3270
05/09/2018,14:00,114.5,116.5,110.5,115.5,3006
05/09/2018,14:15,115.5,116.0,106.5,110.0,3230
05/09/2018,14:30,110.0,116.5,107.5,109.5,3324
05/09/2018,14:45,109.5,112.5,107.5,111.0,2348
05/09/2018,15:00,111.0,116.5,109.5,116.0,3514
05/10/2018,09:15,120.0,145.0,119.5,143.0,5410
05/10/2018,09:30,144.0,144.0,136.0,136.5,4066
05/10/2018,09:45,137.0,138.0,128.0,133.0,3792
05/10/2018,10:00,132.5,133.0,126.0,128.5,3002
05/10/2018,10:15,129.0,131.5,127.5,129.5,1834
05/10/2018,10:30,129.5,129.5,129.5,129.5,2
05/10/2018,10:45,129.5,133.0,128.0,131.5,1672
05/10/2018,11:00,131.5,133.5,128.5,130.0,1506
05/10/2018,11:15,130.5,132.0,113.5,113.5,2632
05/10/2018,11:30,113.0,126.0,112.0,119.0,4280
05/10/2018,11:45,119.0,119.0,119.0,119.0,0
05/10/2018,12:00,119.0,119.0,119.0,119.0,0
05/10/2018,12:15,119.0,119.0,119.0,119.0,0
05/10/2018,12:30,119.0,119.0,119.0,119.0,0
05/10/2018,12:45,119.0,119.0,119.0,119.0,0
05/10/2018,13:00,119.0,119.0,119.0,119.0,0
05/10/2018,13:15,119.0,119.0,119.0,119.0,0
05/10/2018,13:30,119.0,119.0,119.0,119.0,2
05/10/2018,13:45,119.5,123.0,118.0,121.5,2872
05/10/2018,14:00,120.5,127.0,119.0,126.5,2562
05/10/2018,14:15,127.0,127.0,121.5,124.0,2158
05/10/2018,14:30,123.5,128.0,122.5,125.5,2368
05/10/2018,14:45,125.0,132.5,125.0,127.0,2750
05/10/2018,15:00,127.0,131.0,126.0,129.5,3770
05/11/2018,09:15,149.0,163.5,147.0,160.5,4758
05/11/2018,09:30,161.0,164.5,159.0,162.0,4238
05/11/2018,09:45,162.0,163.0,155.5,160.5,3378
05/11/2018,10:00,161.0,162.5,158.5,159.5,2566
05/11/2018,10:15,160.0,170.5,160.0,170.0,3722
05/11/2018,10:30,170.0,170.0,170.0,170.0,0
05/11/2018,10:45,169.0,178.0,166.0,174.0,3932
05/11/2018,11:00,174.0,174.0,167.5,173.0,3208
05/11/2018,11:15,173.0,180.5,172.0,178.0,3882
05/11/2018,11:30,178.0,192.5,176.0,191.0,4256
05/11/2018,11:45,191.0,191.0,191.0,191.0,0
05/11/2018,12:00,191.0,191.0,191.0,191.0,0
05/11/2018,12:15,191.0,191.0,191.0,191.0,0
05/11/2018,12:30,191.0,191.0,191.0,191.0,0
05/11/2018,12:45,191.0,191.0,191.0,191.0,0
05/11/2018,13:00,191.0,191.0,191.0,191.0,0
05/11/2018,13:15,191.0,191.0,191.0,191.0,0
05/11/2018,13:30,191.0,191.0,191.0,191.0,0
05/11/2018,13:45,192.5,208.0,192.0,196.5,5130
05/11/2018,14:00,196.5,199.5,193.5,198.5,3178
05/11/2018,14:15,198.5,202.0,196.5,198.0,2808
05/11/2018,14:30,198.5,205.5,197.0,200.0,3380
05/11/2018,14:45,201.0,202.5,197.0,201.0,3078
05/11/2018,15:00,200.5,201.5,196.5,197.0,3630
05/14/2018,09:15,199.5,213.5,191.0,213.5,5082
05/14/2018,09:30,213.5,216.5,206.5,215.5,3466
05/14/2018,09:45,215.5,218.5,207.0,208.5,3508
05/14/2018,10:00,209.0,213.0,204.0,211.0,3128
05/14/2018,10:15,211.0,211.0,207.0,208.5,1594
05/14/2018,10:30,208.5,208.5,208.5,208.5,4
05/14/2018,10:45,208.5,218.0,208.0,215.0,2670
05/14/2018,11:00,215.5,225.5,215.0,223.0,4346
05/14/2018,11:15,223.0,223.0,210.5,211.5,4582
05/14/2018,11:30,211.5,216.5,209.0,215.5,3308
05/14/2018,11:45,215.5,215.5,215.5,215.5,6
05/14/2018,12:00,215.5,215.5,215.5,215.5,0
05/14/2018,12:15,215.5,215.5,215.5,215.5,0
05/14/2018,12:30,215.5,215.5,215.5,215.5,0
05/14/2018,12:45,215.5,215.5,215.5,215.5,0
05/14/2018,13:00,215.5,215.5,215.5,215.5,0
05/14/2018,13:15,215.5,215.5,215.5,215.5,0
05/14/2018,13:30,215.5,215.5,215.5,215.5,0
05/14/2018,13:45,216.5,223.0,214.5,218.5,3376
05/14/2018,14:00,218.0,220.5,215.0,218.0,2196
05/14/2018,14:15,218.0,219.5,215.0,218.5,2354
05/14/2018,14:30,218.0,220.0,213.5,215.5,2052
05/14/2018,14:45,215.5,217.5,212.5,215.0,2304
05/14/2018,15:00,215.5,218.5,213.5,214.0,3114
05/15/2018,09:15,248.0,257.5,245.5,253.5,3768
05/15/2018,09:30,253.5,261.0,252.5,254.5,3530
05/15/2018,09:45,254.0,254.5,206.0,224.5,5784
05/15/2018,10:00,224.0,226.0,215.5,216.5,3758
05/15/2018,10:15,216.5,225.5,215.5,218.5,3620
05/15/2018,10:30,217.5,217.5,217.5,217.5,2
05/15/2018,10:45,217.5,219.0,206.5,206.5,4102
05/15/2018,11:00,206.5,212.5,192.0,195.0,5208
05/15/2018,11:15,195.5,211.5,194.5,210.0,4546
05/15/2018,11:30,209.0,215.0,203.0,209.0,3874
05/15/2018,11:45,209.0,209.0,209.0,209.0,0
05/15/2018,12:00,209.0,209.0,209.0,209.0,0
05/15/2018,12:15,209.0,209.0,209.0,209.0,0
05/15/2018,12:30,209.0,209.0,209.0,209.0,0
05/15/2018,12:45,209.0,209.0,209.0,209.0,0
05/15/2018,13:00,209.0,209.0,209.0,209.0,0
05/15/2018,13:15,209.0,209.0,209.0,209.0,0
05/15/2018,13:30,209.0,209.0,209.0,209.0,12
05/15/2018,13:45,210.5,222.5,209.5,218.0,4370
05/15/2018,14:00,218.0,226.5,215.0,219.5,3428
05/15/2018,14:15,219.5,222.5,215.5,222.5,2946
05/15/2018,14:30,223.0,226.5,219.0,222.0,2682
05/15/2018,14:45,222.0,248.5,218.5,239.0,3656
05/15/2018,15:00,239.5,240.5,227.0,232.5,4890
05/16/2018,09:15,234.0,241.0,228.5,240.0,3556
05/16/2018,09:30,240.0,243.5,233.5,233.5,3490
05/16/2018,09:45,233.5,239.5,231.0,236.5,3172
05/16/2018,10:00,237.0,247.5,237.0,246.5,3298
05/16/2018,10:15,247.0,250.5,239.5,244.0,3002
05/16/2018,10:30,243.5,243.5,243.5,243.5,2
05/16/2018,10:45,244.5,252.5,241.5,246.0,2704
05/16/2018,11:00,246.0,250.0,240.0,242.5,3104
05/16/2018,11:15,243.0,246.5,241.5,245.5,2258
05/16/2018,11:30,245.5,252.0,244.0,252.0,2798
05/16/2018,11:45,252.0,252.0,252.0,252.0,0
05/16/2018,12:00,252.0,252.0,252.0,252.0,0
05/16/2018,12:15,252.0,252.0,252.0,252.0,0
05/16/2018,12:30,252.0,252.0,252.0,252.0,0
05/16/2018,12:45,252.0,252.0,252.0,252.0,0
05/16/2018,13:00,252.0,252.0,252.0,252.0,0
05/16/2018,13:15,252.0,252.0,252.0,252.0,0
05/16/2018,13:30,252.5,252.5,252.5,252.5,2
05/16/2018,13:45,253.5,276.5,252.5,270.0,5252
05/16/2018,14:00,270.5,280.0,270.5,279.0,4392
05/16/2018,14:15,279.0,279.0,241.0,244.0,5262
05/16/2018,14:30,243.5,250.0,230.5,247.0,4794
05/16/2018,14:45,247.0,257.0,243.0,252.5,3080
05/16/2018,15:00,253.0,253.0,244.0,248.0,3514
05/17/2018,09:15,246.5,254.0,243.0,250.0,3864
05/17/2018,09:30,250.0,254.0,241.5,243.0,3334
05/17/2018,09:45,242.5,245.0,233.0,239.0,3780
05/17/2018,10:00,238.5,241.0,231.0,232.0,3244
05/17/2018,10:15,231.5,232.5,220.5,221.5,4484
05/17/2018,10:30,221.5,221.5,221.5,221.5,2
05/17/2018,10:45,220.0,224.0,212.5,218.5,4562
05/17/2018,11:00,218.5,232.5,217.5,228.0,3738
05/17/2018,11:15,227.5,231.0,225.0,228.0,2742
05/17/2018,11:30,228.0,240.5,227.5,240.5,4190
05/17/2018,11:45,240.5,240.5,240.5,240.5,0
05/17/2018,12:00,240.5,240.5,240.5,240.5,0
05/17/2018,12:15,240.5,240.5,240.5,240.5,0
05/17/2018,12:30,240.5,240.5,240.5,240.5,0
05/17/2018,12:45,240.5,240.5,240.5,240.5,0
05/17/2018,13:00,240.5,240.5,240.5,240.5,0
05/17/2018,13:15,240.5,240.5,240.5,240.5,0
05/17/2018,13:30,241.0,241.0,241.0,241.0,2
05/17/2018,13:45,241.5,249.5,236.5,238.0,3832
05/17/2018,14:00,238.0,241.5,233.5,233.5,2522
05/17/2018,14:15,233.0,237.0,228.0,228.5,3492
05/17/2018,14:30,228.5,239.5,228.0,234.5,2688
05/17/2018,14:45,234.5,238.5,231.5,237.0,2522
05/17/2018,15:00,238.0,239.5,231.5,237.0,3452
05/18/2018,09:15,250.5,255.0,242.5,247.5,3504
05/18/2018,09:30,247.5,251.0,243.5,248.0,2166
05/18/2018,09:45,248.0,250.0,223.5,225.0,3080
05/18/2018,10:00,223.0,233.5,221.0,223.0,4914
05/18/2018,10:15,222.5,229.5,220.5,223.5,3666
05/18/2018,10:30,223.5,223.5,223.5,223.5,0
05/18/2018,10:45,223.5,229.0,223.5,224.5,2180
05/18/2018,11:00,224.0,224.5,205.0,207.0,4862
05/18/2018,11:15,205.5,214.0,202.5,211.0,5012
